origin,dest,count
BIKF,EBLG,1
BIKF,EDDF,1
BIKF,EGLL,24
BIKF,ESSA,13
BIKF,EDFH,1
BIKF,LSZH,2
EBBR,EDDF,121
EBBR,EDDP,13
EBBR,EFHK,30
EBBR,EGLL,2
EBBR,EGNX,3
EBBR,EHAM,42
EBBR,LIRF,38
EBBR,LROP,1
EBBR,UUEE,2
EBBR,EDDK,4
EBBR,LEMD,14
EBBR,LFBO,10
EBBR,LFPG,1
EBBR,LHBP,1
EBBR,LPPR,7
EBBR,UKBB,1
EBCI,EHAM,1
EBLG,EDDF,7
EBLG,EDDK,2
EBLG,EFHK,15
EBLG,EFTU,4
EBLG,EHAM,9
EBLG,EHBK,1
EBLG,ENGM,2
EBLG,ENVA,1
EBLG,ESGG,1
EBLG,LFPG,27
EBLG,LIMC,3
EBLG,LSZH,2
EBLG,UUEE,2
EBLG,UUWW,1
EBLG,UWKD,2
EBLG,EGSS,18
EBLG,GCLP,1
EBLG,LEMD,19
EBLG,LEMG,1
EBLG,LFBO,18
EBLG,LFML,10
EBLG,LPPR,18
EBLG,LPPT,2
EBLG,LROP,1
EDDB,EDDK,2
EDDB,EDDL,1
EDDB,UMMS,34
EDDB,EDDF,1
EDDB,EDDT,1
EDDB,EIDW,9
EDDB,LRSB,1
EDDB,UUEE,1
EDDF,EDDH,116
EDDF,EDDK,3
EDDF,EDDL,10
EDDF,EDDM,117
EDDF,EDDP,43
EDDF,EDDT,148
EDDF,EDXW,2
EDDF,EETN,30
EDDF,EFHK,117
EDDF,EGGW,1
EDDF,EGLL,162
EDDF,EGNX,3
EDDF,EGSS,33
EDDF,EHAM,221
EDDF,EHBK,5
EDDF,EKCH,122
EDDF,ENGM,52
EDDF,EPWA,2
EDDF,ESGG,12
EDDF,ESSA,126
EDDF,LDSP,1
EDDF,LDZA,84
EDDF,LEBL,31
EDDF,LEMD,58
EDDF,LEPA,18
EDDF,LETO,3
EDDF,LEZG,7
EDDF,LFPB,2
EDDF,LFPG,148
EDDF,LIMC,139
EDDF,LIRF,119
EDDF,LKMT,1
EDDF,LKPR,6
EDDF,LMML,28
EDDF,LOWW,150
EDDF,LPPR,11
EDDF,LPPT,62
EDDF,LSGG,61
EDDF,LSZH,124
EDDF,LYBE,3
EDDF,UKBB,10
EDDF,UMMS,27
EDDF,UUEE,124
EDDF,UUWW,14
EDDF,EDDN,2
EDDF,EDDV,1
EDDF,EDFH,1
EDDF,ENZV,5
EDDF,GCLP,1
EDDF,LEMG,1
EDDF,LFRN,2
EDDF,LHBP,10
EDDF,LIPZ,1
EDDF,LROP,1
EDDH,EDDK,8
EDDH,EDDL,30
EDDH,EDDM,110
EDDH,EDDS,24
EDDH,EHAM,58
EDDH,LEPA,46
EDDH,LIMC,2
EDDH,LOWW,30
EDDH,LRSB,3
EDDH,LSZH,5
EDDH,EDDR,2
EDDH,UKBB,1
EDDK,EDDL,2
EDDK,EDDM,12
EDDK,EDDP,14
EDDK,EDDS,2
EDDK,EDDT,14
EDDK,EGNX,43
EDDK,EGPH,6
EDDK,EGSS,35
EDDK,LDZA,10
EDDK,LEPA,24
EDDK,LFPG,110
EDDK,LOWW,1
EDDK,LPPT,16
EDDK,LRSB,3
EDDK,EDDN,1
EDDK,EDFH,1
EDDK,LEBL,20
EDDK,LFBO,1
EDDK,LFML,13
EDDK,LFRN,1
EDDK,LIPZ,19
EDDK,LIRA,1
EDDK,LPPR,20
EDDL,EDDM,89
EDDL,EDDT,34
EDDL,EDXW,12
EDDL,EGCC,16
EDDL,EGLL,37
EDDL,EGSH,4
EDDL,EHAM,56
EDDL,LEBL,26
EDDL,LEIB,10
EDDL,LEPA,56
EDDL,LHBP,10
EDDL,LIMC,28
EDDL,LIRF,14
EDDL,LKPR,2
EDDL,LOWS,18
EDDL,LOWW,38
EDDL,LROP,10
EDDL,LRSB,10
EDDL,LRTM,1
EDDL,LSZH,32
EDDL,EDDN,2
EDDL,EDDP,1
EDDL,EDDS,1
EDDL,EDFH,1
EDDL,LYBE,1
EDDM,EDDT,74
EDDM,EDDW,10
EDDM,EDXW,2
EDDM,EFHK,16
EDDM,EHAM,20
EDDM,ELLX,4
EDDM,LEPA,18
EDDM,LFPG,21
EDDM,LIRF,25
EDDM,UMMS,21
EDDM,UUEE,4
EDDM,EDDV,8
EDDN,EDFH,1
EDDN,ETAR,1
EDDN,EPGD,1
EDDN,LRSB,3
EDDP,EDFH,1
EDDP,EGGW,3
EDDP,EGLL,1
EDDP,EGNX,59
EDDP,EHAM,35
EDDP,LDZA,9
EDDP,LFPG,6
EDDP,LIMC,1
EDDP,LIRF,1
EDDP,UUEE,2
EDDP,LEMD,17
EDDP,LEZL,1
EDDP,LFBO,4
EDDP,LPPR,9
EDDP,LRSB,2
EDDS,EDDT,8
EDDS,EHAM,46
EDDS,LHBP,1
EDDT,EFHK,53
EDDT,EGLL,38
EDDT,EHAM,6
EDDT,LFPG,14
EDDT,LSZH,18
EDFH,EPGD,1
EDFH,UUEE,5
EDHI,EGNR,1
EDHI,LFBO,3
EETN,EFHK,67
EETN,EHAM,14
EETN,ENGM,4
EETN,UMMS,20
EFHK,EFKU,48
EFHK,EFMA,38
EFHK,EFOU,98
EFHK,EFRO,5
EFHK,EFTU,15
EFHK,EGLL,122
EFHK,EHAM,38
EFHK,ESSA,124
EFHK,LEAL,2
EFHK,LFPG,58
EFHK,LSZH,21
EFHK,UKBB,9
EFHK,UMMS,36
EFHK,LDZA,1
EFHK,LEMG,1
EFMA,EFTU,29
EFMA,ESSA,38
EGBB,EHAM,57
EGBB,UUEE,3
EGBB,EIDW,18
EGCC,EHAM,16
EGCC,EIDW,34
EGCC,LFPG,16
EGGW,EHAM,2
EGGW,LPPT,11
EGGW,LHBP,23
EGKK,EIDW,1
EGKK,LFPG,1
EGKK,UMMS,36
EGLF,EIDW,1
EGAC,EGLL,5
EGLL,EGNX,1
EGLL,EGPD,6
EGLL,EGPF,27
EGLL,EGPH,44
EGLL,EHAM,120
EGLL,EICK,21
EGLL,EIDW,62
EGLL,ESSA,30
EGLL,LEBL,37
EGLL,LEMD,15
EGLL,LETO,4
EGLL,LFMN,2
EGLL,LFPG,73
EGLL,LIRF,122
EGLL,LPPT,38
EGLL,LSGG,36
EGLL,LSZH,53
EGLL,LXGB,3
EGLL,ULLI,1
EGLL,UUEE,49
EGLL,UUWW,3
EGLL,LIMC,3
EGNT,EHAM,2
EGNX,EHAM,14
EGNX,LFPG,1
EGPD,EHAM,22
EGPD,ENBR,14
EGPD,ENGM,2
EGPH,EHAM,45
EGPH,LFPG,13
EGPH,EIDW,19
EGSS,LFPG,44
EGSS,EHAM,1
EGSS,LGIR,1
EGSS,LPPT,31
EGUN,ETAR,2
EHAM,EIDW,115
EHAM,EKBI,57
EHAM,EKCH,18
EHAM,ENGM,37
EHAM,ESGG,53
EHAM,ESSA,76
EHAM,LDZA,7
EHAM,LEBL,8
EHAM,LEMD,28
EHAM,LETO,4
EHAM,LEZG,4
EHAM,LFPG,152
EHAM,LHBP,13
EHAM,LIMC,33
EHAM,LIRF,8
EHAM,LKPR,87
EHAM,LMML,16
EHAM,LOWW,36
EHAM,LPPT,62
EHAM,LSGG,60
EHAM,LSZH,80
EHAM,UKBB,9
EHAM,UMMS,44
EHAM,UUEE,60
EHAM,UUWW,5
EHAM,ELLX,1
EHAM,EPWA,1
EHAM,ETAR,2
EHAM,LEMG,1
EHAM,LPFR,1
EHAM,LYBE,1
EHBK,LEZG,4
EHBK,EPWA,1
EHBK,LEBL,1
EHBK,LEMD,2
EHBK,LFPG,4
EHBK,LMML,1
EGPF,EIDW,9
EGPF,EKCH,1
EIDW,LFPG,21
EIDW,LIRF,2
EKBI,LROP,18
EKBI,LSZH,1
EKCH,EKRN,1
EKCH,EKYT,83
EKCH,ENGM,71
EKCH,ESSA,92
EKCH,LFPG,14
EKKA,ENGM,2
EDDR,ELLX,2
ELLX,LEZG,7
ELLX,LPFR,2
ELLX,LPPT,4
ELLX,LFPG,1
ELLX,LIMC,1
ELLX,LOWW,9
ELLX,LPPR,1
ENBO,ENGM,124
ENBO,ENVA,75
ENBR,ENCN,4
ENBR,ENGM,28
ENBR,ENML,2
ENBR,ENTO,1
ENBR,ENVA,6
ENBR,ENZV,50
ENCN,ENGM,11
ENAL,ENGM,1
ENGM,ENHD,121
ENGM,ENKB,5
ENGM,ENML,5
ENGM,ENVA,257
ENGM,ENZV,286
ENGM,ESSA,97
ENGM,LEAL,2
ENGM,LEMG,16
ENGM,LEPA,1
ENGM,UKBB,1
ENGM,LEVC,1
ENGM,LFPG,1
ENGM,LHBP,5
ENGM,LIMC,1
ENGM,LOWW,12
ENGM,UUEE,1
ENML,ENVA,1
ENSO,ENVA,5
ENSO,ENZV,2
ENTO,ENZV,11
ENVA,ENZV,19
ENZV,LDZA,2
EPWA,LIMC,1
EPWA,UUEE,2
EPWA,LIPX,1
EFTU,ESGG,1
ESGG,ESSA,44
ESGG,LHBP,3
ESND,ESSA,25
EFTP,ESPA,1
ESPA,ESSA,7
ESSA,LEMG,6
ESSA,LFPG,24
ESSA,LKPR,6
ESSA,LSZH,20
ESSA,LZIB,2
ESSA,UKBB,1
ESSA,UMMS,36
ESSA,LEAL,2
ETOU,UUEE,1
ETOU,LOWW,1
LDSP,LDZA,5
LDZA,LIME,1
LDZA,LIPE,2
LDZA,UUEE,2
LEAL,LEBL,9
LEBL,LEMD,5
LEBL,LEMG,9
LEBL,LETO,4
LEBL,LFPG,51
LEBL,LSZH,6
LEBL,UMMS,6
LEIB,LEPA,41
LEIB,LEMD,5
GCLP,LEMD,2
GCRR,LEMD,1
GCXO,LEMD,1
LEMD,LEPA,69
LEMD,LEZG,1
LEMD,LFPG,51
LEMD,LIMC,2
LEMD,LYBE,1
LEMD,UUEE,9
LEMD,LPPR,1
LEMD,LROP,1
LEMG,LPPT,1
LEMG,LSZH,4
LEMG,LFPG,1
LEMG,LPFR,1
LEMG,UUEE,1
LEMH,LEPA,21
LEPA,LETO,13
LEZL,LIMC,2
LFBD,LFML,13
LFBD,LFPG,12
EGNR,LFBO,3
LFBO,LFLL,5
LFBO,LFPG,101
LFBO,LFRE,1
LFML,LFPG,95
LFMN,LFPG,10
LFMN,LIRF,1
LETO,LFPG,9
LEZG,LFPG,3
LFMD,LFPG,1
LFPG,LFRB,6
LFPG,LFRJ,4
LFPG,LIMC,13
LFPG,LIRF,135
LFPG,LKPR,29
LFPG,LMML,2
LFPG,LOWW,2
LFPG,LPPT,51
LFPG,LROP,4
LFPG,LSGG,16
LFPG,LYBE,3
LFPG,UKBB,8
LFPG,UMMS,62
LFPG,UUEE,18
LFPG,UUWW,3
LFPG,LFRN,13
LGIR,LGSR,1
LHBP,LKPR,1
LHBP,UUEE,8
LHBP,UUWW,1
LIBD,LIRF,62
LICC,LIRF,40
LICJ,LIRF,29
LIED,LIRF,36
LIED,LIMC,31
LIEE,LIRF,120
LIEE,LIMC,20
LIMC,LIPX,1
LIMC,LIRF,94
LIMC,UMMS,16
LIMC,UUEE,14
LIMF,LIRF,14
LIMJ,LIRF,55
LIME,LIPE,1
LIME,LJLJ,15
LIPE,LIRF,60
LIPE,UUEE,4
LIPE,LJLJ,5
LIPZ,LIRF,31
LIPZ,LIRA,19
LICZ,LIRF,53
LIRF,LIRP,1
LIRF,LSGG,34
LIRF,LSZH,36
LIRF,UKBB,1
LIRF,UMMS,20
LIRF,UUEE,2
LKMT,LMML,1
LKPR,UMMS,24
LOWL,LOWW,1
LBSF,LOWW,1
LPFR,LSZH,2
LFEY,LPPR,1
LPPR,LSGG,10
LPPR,LSZH,25
LPPR,LPPT,28
LPPT,LSGG,8
LPPT,LSZH,21
LPPT,UUEE,2
LROP,UUWW,1
LSGG,LSZH,4
LSZH,UUEE,2
LYBE,UMMS,2
ULLI,UUEE,15
ULLI,UUWW,10
ULLI,UUYY,8
ULLI,UWWW,13
UMKK,UUEE,7
URWA,UUEE,31
LOWW,UUEE,1
UUEE,UUWW,1
UUEE,UUYY,22
UUEE,UWKD,19
UUEE,UWUU,2
UUEE,UWWW,35
UUWW,UUYY,8
UUWW,UWWW,2
